192.168.2.2 | 2013_12_01 13:55:16 | admin | 
192.168.2.2 | 2013_12_01 13:55:18 | admin | 
192.168.2.2 | 2013_12_01 13:55:19 | admin | exit
192.168.2.2 | 2013_12_01 13:56:41 | admin | 
192.168.2.2 | 2013_12_01 13:56:42 | admin | 
192.168.2.2 | 2013_12_01 13:56:44 | admin | exit
192.168.2.2 | 2013_12_01 13:58:02 | admin | exit
192.168.2.2 | 2013_12_01 13:58:28 | admin | exit
192.168.2.2 | 2013_12_01 13:58:34 | admin | exit
192.168.2.2 | 2013_12_01 14:02:16 | admin | ifconfig
192.168.2.2 | 2013_12_01 14:02:26 | admin | top
192.168.2.2 | 2013_12_01 14:02:27 | admin | q
192.168.2.2 | 2013_12_01 14:02:28 | admin | 
192.168.2.2 | 2013_12_01 14:02:28 | admin | 
192.168.2.2 | 2013_12_01 14:02:30 | admin | dmesg
192.168.2.2 | 2013_12_01 14:02:32 | admin | quit
192.168.2.2 | 2013_12_01 14:02:33 | admin | exit
192.168.2.2 | 2013_12_01 14:05:00 | admin | ls
192.168.2.2 | 2013_12_01 14:05:03 | admin | wpwd
192.168.2.2 | 2013_12_01 14:05:03 | admin | 
192.168.2.2 | 2013_12_01 14:08:42 | admin | 
192.168.2.2 | 2013_12_01 14:08:43 | admin | 
192.168.2.2 | 2013_12_01 14:08:43 | admin | 
192.168.2.2 | 2013_12_01 14:08:43 | admin | 
192.168.2.2 | 2013_12_01 14:08:43 | admin | 
192.168.2.2 | 2013_12_01 14:08:43 | admin | 
192.168.2.2 | 2013_12_01 14:08:43 | admin | 
192.168.2.2 | 2013_12_01 14:08:43 | admin | 
192.168.2.2 | 2013_12_01 14:09:37 | admin | 
192.168.2.2 | 2013_12_01 14:09:37 | admin | 
192.168.2.2 | 2013_12_01 14:09:37 | admin | 
192.168.2.2 | 2013_12_01 14:09:38 | admin | 
192.168.2.2 | 2013_12_01 14:09:38 | admin | 
192.168.2.2 | 2013_12_01 14:09:38 | admin | 
192.168.2.2 | 2013_12_01 14:09:54 | admin | exit
192.168.2.2 | 2013_12_01 14:46:09 | admin | ls
192.168.2.2 | 2013_12_01 14:46:12 | admin | exit
