127.0.0.1 | 2013_12_04 16:29:09 | admin | exit
127.0.0.1 | 2013_12_04 17:09:34 | admin | exit
127.0.0.1 | 2013_12_04 18:00:46 | admin | 
127.0.0.1 | 2013_12_04 18:00:48 | admin | 
127.0.0.1 | 2013_12_04 18:00:48 | admin | ls
127.0.0.1 | 2013_12_04 18:00:49 | admin | pwd
127.0.0.1 | 2013_12_04 18:01:08 | admin | who
127.0.0.1 | 2013_12_04 18:01:14 | admin | t
127.0.0.1 | 2013_12_04 18:01:15 | admin | 
127.0.0.1 | 2013_12_04 18:01:16 | admin | cd /t	
127.0.0.1 | 2013_12_04 18:01:17 | admin | ls
127.0.0.1 | 2013_12_04 18:01:18 | admin | touch aaa
127.0.0.1 | 2013_12_04 18:01:20 | admin | rm -f aaa
127.0.0.1 | 2013_12_04 18:01:51 | admin | exit
127.0.0.1 | 2013_12_04 18:04:09 | admin | 
127.0.0.1 | 2013_12_04 18:04:10 | admin | 
127.0.0.1 | 2013_12_04 18:04:10 | admin | 
127.0.0.1 | 2013_12_04 18:04:10 | admin | 
127.0.0.1 | 2013_12_04 18:04:10 | admin | 
127.0.0.1 | 2013_12_04 18:04:18 | admin | exit
127.0.0.1 | 2013_12_04 18:07:28 | admin | 
127.0.0.1 | 2013_12_04 18:07:30 | admin | 
127.0.0.1 | 2013_12_04 18:07:30 | admin | 
127.0.0.1 | 2013_12_04 18:07:30 | admin | 
127.0.0.1 | 2013_12_04 18:07:33 | admin | 
127.0.0.1 | 2013_12_04 18:07:33 | admin | 
127.0.0.1 | 2013_12_04 18:08:14 | admin | [Aexiexit
127.0.0.1 | 2013_12_04 18:08:27 | admin | 
127.0.0.1 | 2013_12_04 18:08:28 | admin | 
127.0.0.1 | 2013_12_04 18:08:28 | admin | 
127.0.0.1 | 2013_12_04 18:08:32 | admin | 
127.0.0.1 | 2013_12_04 18:08:33 | admin | 
127.0.0.1 | 2013_12_04 18:08:33 | admin | 
127.0.0.1 | 2013_12_04 18:08:49 | admin | 2
127.0.0.1 | 2013_12_04 18:08:55 | admin | 1
127.0.0.1 | 2013_12_04 18:09:00 | admin | 2
127.0.0.1 | 2013_12_04 18:09:01 | admin | 3
127.0.0.1 | 2013_12_04 18:09:02 | admin | 111
127.0.0.1 | 2013_12_04 18:09:04 | admin | aaa
127.0.0.1 | 2013_12_04 18:09:07 | admin | a
127.0.0.1 | 2013_12_04 18:09:09 | admin | a
127.0.0.1 | 2013_12_04 18:09:10 | admin | a
127.0.0.1 | 2013_12_04 18:10:00 | admin | exit
127.0.0.1 | 2013_12_04 18:10:14 | admin | a
127.0.0.1 | 2013_12_04 18:10:22 | admin | a
127.0.0.1 | 2013_12_04 18:10:24 | admin | dfsfd
127.0.0.1 | 2013_12_04 18:10:32 | admin | exit
127.0.0.1 | 2013_12_04 18:37:38 | admin | exit
127.0.0.1 | 2013_12_04 23:58:25 | admin | exit
