127.0.0.1 | 2013_12_13 23:08:21 | admin | ls
127.0.0.1 | 2013_12_13 23:08:23 | admin | pwd
127.0.0.1 | 2013_12_13 23:08:29 | admin | cat /etc/hosts
127.0.0.1 | 2013_12_13 23:08:54 | admin | exit
127.0.0.1 | 2013_12_13 23:15:07 | admin | who
127.0.0.1 | 2013_12_13 23:15:11 | admin | ls
127.0.0.1 | 2013_12_13 23:15:12 | admin | pwd
127.0.0.1 | 2013_12_13 23:15:15 | admin | ll
127.0.0.1 | 2013_12_13 23:15:22 | admin | ll
127.0.0.1 | 2013_12_13 23:15:26 | admin | exit
192.168.2.2 | 2013_12_13 23:30:52 | admin | lsl
192.168.2.2 | 2013_12_13 23:30:53 | admin | pwd
192.168.2.2 | 2013_12_13 23:31:24 | admin | exit
127.0.0.1 | 2013_12_13 23:31:47 | admin | ls
127.0.0.1 | 2013_12_13 23:31:51 | admin | ipaddr
127.0.0.1 | 2013_12_13 23:31:53 | admin | ip addr
127.0.0.1 | 2013_12_13 23:31:57 | admin | exit
192.168.2.2 | 2013_12_13 23:37:08 | admin | ls
192.168.2.2 | 2013_12_13 23:37:10 | admin | pwd
192.168.2.2 | 2013_12_13 23:37:10 | admin | date
192.168.2.2 | 2013_12_13 23:37:13 | admin | exit
